id,first_name,last_name,email,gender,absence_days,extracurricular_activities,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Full Name,Overall Percentage,Grade,Rank,Strongest Subject,Weakest Subject
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,3,False,73,81,93,97,63,80,87,Paul Casey,82.0,B,832,Chemistry,Biology
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,2,False,90,86,96,100,90,88,90,Danielle Sandoval,91.42857142857143,A,98,Chemistry,History
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,9,True,81,97,95,96,65,77,94,Tina Andrews,86.42857142857143,B,344,History,Biology
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,5,False,71,74,88,80,89,63,86,Tara Clark,78.71428571428571,C,1317,Biology,English
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,5,False,84,77,65,65,80,74,76,Anthony Campos,74.42857142857143,C,1749,Math,Physics
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,2,False,93,100,67,78,72,80,84,Kelly Wade,82.0,B,832,History,Physics
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,3,True,99,96,97,73,88,76,64,Anthony Smith,84.71428571428571,B,494,Math,Geography
8,George,Short,george.short.8@gslingacademy.com,male,2,True,95,95,82,63,84,70,85,George Short,82.0,B,832,Math,Chemistry
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,6,False,94,68,94,85,81,74,72,Stanley Gutierrez,81.14285714285714,B,975,Math,History
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,3,True,98,69,88,71,67,71,73,Audrey Simpson,76.71428571428571,C,1553,Math,Biology
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,female,2,False,65,60,97,94,71,81,66,Gabrielle White,76.28571428571429,C,1595,Physics,History
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,male,1,False,80,61,100,65,87,64,61,Clinton Randolph,74.0,C,1775,Physics,History
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,female,7,False,94,59,69,67,89,65,73,Patricia Gomez,73.71428571428571,C,1792,Math,History
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,female,10,False,66,94,86,100,57,90,63,Pamela Jackson,79.42857142857143,C,1224,Chemistry,Biology
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,female,3,False,96,90,86,92,92,95,87,Laura Jackson,91.14285714285714,A,110,Math,Physics
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,6,False,94,50,78,64,79,74,84,Roger Wiley,74.71428571428571,C,1727,Math,History
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,3,True,92,64,93,91,80,89,72,Vicki Thompson,83.0,B,688,Physics,History
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,2,True,86,83,85,79,93,76,77,Maxwell Davidson,82.71428571428571,B,730,Biology,English
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,1,False,92,87,92,99,97,87,86,Jonathan Werner,91.42857142857143,A,98,Chemistry,Geography
